"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"BOT","BOTANIX PHARMACEUTICALS LTD","1985-01-24","Pharmaceuticals, Biotechnology & Life Sciences",67686421
"BPH","BPH ENERGY LTD","2004-08-06","Pharmaceuticals, Biotechnology & Life Sciences","N/A"
"BPM","BPM MINERALS LIMITED","2020-12-30","Materials",6927082
"BPP","BABYLON PUMP & POWER LIMITED","1996-12-13","Capital Goods",12288857
"BPT","BEACH ENERGY LIMITED","1972-06-30","Energy",3627320513
"BRB","BREAKER RESOURCES NL","2012-04-20","Materials",104366240
"BRG","BREVILLE GROUP LIMITED","1999-05-25","Consumer Durables & Apparel",2587198334
"BRI","BIG RIVER INDUSTRIES LIMITED","2017-05-01","Materials",173501080
"BRK","BROOKSIDE ENERGY LIMITED","2005-10-31","Energy",55135002
"BRL","BATHURST RESOURCES LIMITED.","2013-06-21","Materials",160742215
"BRN","BRAINCHIP HOLDINGS LTD","2011-11-09","Software & Services",1148363326
"BRU","BURU ENERGY LIMITED","2008-09-01","Energy",55133985
"BRX","BELARAROX LIMITED","2022-01-28","Materials","N/A"
"BSA","BSA LIMITED","1999-11-15","Commercial & Professional Services",37899759
"BSE","BASE RESOURCES LIMITED","2008-10-02","Materials",259162607
"BSL","BLUESCOPE STEEL LIMITED","2002-07-15","Materials",7771846805
"BSN","BASIN ENERGY LIMITED","2022-10-04","Energy",12184455
"BST","BEST & LESS GROUP HOLDINGS LTD","2021-07-26","Retailing",240704506
"BSX","BLACKSTONE MINERALS LIMITED","2017-01-23","Materials",59173143
"BTC","BTC HEALTH LTD","2000-08-29","Not Applic",10146469
"BTE","BOTALA ENERGY LTD","2022-07-14","Energy",21790335
"BTH","BIGTINCAN HOLDINGS LIMITED","2017-03-24","Software & Services",316233831
"BTI","BAILADOR TECHNOLOGY INVESTMENTS LIMITED","2014-11-21","Diversified Financials",174803259
"BTN","BUTN LIMITED","2021-07-06","Diversified Financials",22404200
"BTR","BRIGHTSTAR RESOURCES LIMITED","2003-12-05","Materials",12454690
"BUB","BUBS AUSTRALIA LIMITED","1993-10-05","Food, Beverage & Tobacco",221650435
"BUD","BUDDY TECHNOLOGIES LTD","2006-12-18","Consumer Durables & Apparel","N/A"
"BUR","BURLEY MINERALS LTD","2021-07-07","Materials",13420000
"BUS","BUBALUS RESOURCES LIMITED","2022-10-13","Materials",6059115
"BUX","BUXTON RESOURCES LIMITED","2007-10-23","Materials",17893260
"BUY","BOUNTY OIL & GAS NL","2002-02-05","Energy",8223006
"BVR","BELLAVISTA RESOURCES LTD","2022-05-25","Materials",16039353
"BVS","BRAVURA SOLUTIONS LIMITED.","2016-11-16","Software & Services",216067982
"BWF","BLACKWALL LIMITED","2011-10-21","Diversified Financials",45877183
"BWP","BWP TRUST","1998-09-16","Real Estate",2543839860
"BWX","BWX LIMITED","2015-11-11","Household & Personal Products",33997875
"BXB","BRAMBLES LIMITED","2006-11-27","Commercial & Professional Services",16720694143
"BXN","BIOXYNE LIMITED","2000-12-14","Household & Personal Products",15975490
"BYE","BYRON ENERGY LIMITED","2005-06-03","Energy",124360437
"BYH","BRYAH RESOURCES LIMITED","2017-10-17","Materials",7312590
"BYI","BEYOND INTERNATIONAL LIMITED","1987-06-12","Media & Entertainment","N/A"
"C1X","COSMOS EXPLORATION LIMITED","2021-12-01","Materials",7700000
"C29","C29 METALS LIMITED","2021-11-03","Materials",9863051
"C6C","COPPER MOUNTAIN MINING CORPORATION","2018-04-06","Materials",408039583
"C79","CHRYSOS CORPORATION LIMITED","2022-05-06","Commercial & Professional Services",307548574
"C7A","CLARA RESOURCES AUSTRALIA LTD","2010-10-21","Materials",14216787
"CAA","CAPRAL LIMITED","1986-11-20","Materials",129878758
"CAE","CANNINDAH RESOURCES LIMITED","2005-05-20","Materials",131575189
"CAF","CENTREPOINT ALLIANCE LIMITED","2002-06-25","Diversified Financials",41135197
"CAG","CAPE RANGE LTD","2017-11-30","Software & Services",12338079
"CAI","CALIDUS RESOURCES LIMITED","1987-03-13","Materials",118241560
"CAJ","CAPITOL HEALTH LIMITED","2006-06-09","Health Care Equipment & Services",340327212
"CAM","CLIME CAPITAL LIMITED","2004-02-03","Not Applic",122228556
"CAN","CANN GROUP LIMITED","2017-05-04","Pharmaceuticals, Biotechnology & Life Sciences",77702973
"CAQ","CAQ HOLDINGS LIMITED","2005-07-25","Real Estate",17944657
"CAR","CARSALES.COM LIMITED.","2009-09-10","Media & Entertainment",7233897816
"CAT","CATAPULT GROUP INTERNATIONAL LTD","2014-12-19","Technology Hardware & Equipment",175721676
"CAU","CRONOS AUSTRALIA LIMITED","2019-11-07","Health Care Equipment & Services",314440620
"CAV","CARNAVALE RESOURCES LIMITED","2007-03-15","Materials",13667759
"CAY","CANYON RESOURCES LIMITED","2010-06-15","Materials",56826924
"CAZ","CAZALY RESOURCES LIMITED","2003-10-31","Materials",11526476
"CBA","COMMONWEALTH BANK OF AUSTRALIA.","1991-09-12","Banks",172353318372
"CBE","COBRE LIMITED","2020-01-31","Materials",43348280
"CBH","COOLABAH METALS LIMITED","2022-07-28","Materials",4663750
"CBL","CONTROL BIONICS LIMITED","2020-12-07","Health Care Equipment & Services",14929040
"CBO","COBRAM ESTATE OLIVES LIMITED","2021-08-11","Food, Beverage & Tobacco",602871124
"CBR","CARBON REVOLUTION LIMITED","2019-11-29","Automobiles & Components",22084187
"CBY","CANTERBURY RESOURCES LIMITED","2019-03-07","Materials",5494965
"CCA","CHANGE FINANCIAL LIMITED","2016-06-30","Software & Services",25668069
"CCE","CARNEGIE CLEAN ENERGY LIMITED","1993-10-26","Utilities",15642574
"CCG","COMMS GROUP LTD","2017-12-21","Telecommunication Services",28473695
"CCP","CREDIT CORP GROUP LIMITED","2000-09-04","Diversified Financials",1271488870
"CCR","CREDIT CLEAR LIMITED","2020-10-27","Software & Services",150768853
"CCV","CASH CONVERTERS INTERNATIONAL","1997-02-07","Diversified Financials",150610804
"CCX","CITY CHIC COLLECTIVE LIMITED","1998-05-28","Retailing",106515459
"CCZ","CASTILLO COPPER LIMITED","2010-12-14","Materials",22091591
"CD1","CD PRIVATE EQUITY FUND I","2012-08-14","Not Applic",29606456
"CD2","CD PRIVATE EQUITY FUND II","2013-04-09","Not Applic",61400531
"CD3","CD PRIVATE EQUITY FUND III","2016-07-27","Not Applic",100119504
"CDA","CODAN LIMITED","2003-11-27","Technology Hardware & Equipment",717425652
"CDD","CARDNO LIMITED","2004-05-20","Commercial & Professional Services",20506848
"CDM","CADENCE CAPITAL LIMITED","2006-12-05","Not Applic",263536894
"CDO","CADENCE OPPORTUNITIES FUND LIMITED.","2021-11-19","Not Applic",35453546
"CDP","CARINDALE PROPERTY TRUST","1996-11-28","Real Estate",313519516
"CDR","CODRUS MINERALS LIMITED","2021-06-23","Materials",10560201
"CDT","CASTLE MINERALS LIMITED","2006-05-02","Materials",21988846
"CDX","CARDIEX LIMITED","2005-11-09","Health Care Equipment & Services",44194609
"CE1","CALIMA ENERGY LIMITED","2006-07-28","Energy",79527600
"CEL","CHALLENGER EXPLORATION LIMITED","2007-11-07","Energy",182859469
"CEN","CONTACT ENERGY LIMITED","2015-09-24","Utilities",5780440320
"CF1","COMPLII FINTECH SOLUTIONS LTD","2001-12-18","Software & Services",28741486
"CFO","CFOAM LIMITED","2016-10-26","Capital Goods",1834602
"CG1","CARBONXT GROUP LIMITED","2018-01-23","Materials",19262122
"CGB","CANN GLOBAL LIMITED","2008-01-14","Pharmaceuticals, Biotechnology & Life Sciences","N/A"
"CGC","COSTA GROUP HOLDINGS LIMITED","2015-07-24","Food, Beverage & Tobacco",1207820812
"CGF","CHALLENGER LIMITED","2003-12-23","Diversified Financials",5204617639
"CGN","CRATER GOLD MINING LIMITED","2002-11-01","Materials","N/A"
"CGO","CPT GLOBAL LIMITED","2000-09-08","Software & Services",13787127
"CGS","COGSTATE LTD","2004-02-13","Health Care Equipment & Services",336512396
"CHC","CHARTER HALL GROUP","2005-06-10","Real Estate",5704346220
"CHK","COHIBA MINERALS LIMITED","2012-02-01","Materials",12412709
"CHL","CAMPLIFY HOLDINGS LIMITED","2021-06-28","Transportation",113886664
"CHM","CHIMERIC THERAPEUTICS LIMITED","2021-01-18","Pharmaceuticals, Biotechnology & Life Sciences",34093361
"CHN","CHALICE MINING LIMITED","2006-03-24","Materials",2349030491
"CHR","CHARGER METALS NL","2021-07-09","Materials",27330322
"CHZ","CHESSER RESOURCES LIMITED","2007-05-29","Materials",49990464
"CI1","CREDIT INTELLIGENCE LTD","2008-07-10","Commercial & Professional Services",17534824
"CIA","CHAMPION IRON LIMITED","2007-06-08","Materials",3796197545
"CII","CI RESOURCES LIMITED","1987-07-24","Materials","N/A"
"CIN","CARLTON INVESTMENTS LIMITED","1970-06-30","Not Applic",791592783
"CIO","CONNECTED IO LIMITED","1984-08-16","Technology Hardware & Equipment","N/A"
"CIP","CENTURIA INDUSTRIAL REIT","2012-12-13","Real Estate",1993682194
"CIW","CLIME INVESTMENT MANAGEMENT LTD","2000-12-15","Diversified Financials",34780927
"CKA","COKAL LIMITED","2000-04-17","Materials",183582551
"CKF","COLLINS FOODS LIMITED","2011-08-04","Consumer Services",829470584
"CL8","CARLY HOLDINGS LIMITED","1996-09-09","Retailing",4496149
"CLA","CELSIUS RESOURCES LIMITED.","1988-03-24","Materials",24093265
"CLB","CANDY CLUB HOLDINGS LIMITED","2019-02-19","Food & Staples Retailing","N/A"
"CLE","CYCLONE METALS LIMITED","2001-06-07","Materials",9175105
"CLG","CLOSE THE LOOP LTD.","2021-12-02","Commercial & Professional Services",129148819
"CLT","CELLNET GROUP LIMITED","1999-11-17","Technology Hardware & Equipment",6089866
"CLU","CLUEY LTD","2020-12-09","Consumer Services",63608907
"CLV","CLOVER CORPORATION LIMITED","1999-11-30","Materials",206244186
"CLW","CHARTER HALL LONG WALE REIT","2016-11-08","Real Estate",3238840488
"CLX","CTI LOGISTICS LIMITED","1987-12-02","Transportation",126226721
"CLZ","CLASSIC MINERALS LTD","2013-05-24","Materials",7886028
"CMD","CASSIUS MINING LIMITED","2006-08-10","Materials",8169858
"CMG","CRITICAL MINERALS GROUP LIMITED","2022-09-27","Materials",8154800
"CMM","CAPRICORN METALS LTD","2008-07-07","Materials",1723542605
"CMO","COSMO METALS LIMITED","2022-01-31","Materials",6818850
"CMP","COMPUMEDICS LIMITED","2000-12-21","Health Care Equipment & Services",35432590
"CMW","CROMWELL PROPERTY GROUP","1973-02-22","Real Estate",1767735022
"CMX","CHEMX MATERIALS LIMITED","2022-01-18","Materials",17626631
"CNB","CARNABY RESOURCES LIMITED","2016-08-30","Materials",131550414
"CNI","CENTURIA CAPITAL GROUP","2002-03-26","Real Estate",1361840548
"CNJ","CONICO LTD","2007-06-18","Materials",11639745
"CNQ","CLEAN TEQ WATER LIMITED","2021-07-02","Commercial & Professional Services",22218465
"CNR","CANNON RESOURCES LIMITED","2021-08-12","Materials",42689601
"CNU","CHORUS LIMITED","2011-11-21","Telecommunication Services",3407240072
"CNW","CIRRUS NETWORKS HOLDINGS LIMITED","2004-02-10","Software & Services",30690211
"COB","COBALT BLUE HOLDINGS LIMITED","2017-02-02","Materials",205381929
"COD","CODA MINERALS LTD","2020-10-28","Materials",33007180
"COE","COOPER ENERGY LIMITED","2002-03-13","Energy",473675627
"COF","CENTURIA OFFICE REIT","2014-12-10","Real Estate",904965450
"COG","COG FINANCIAL SERVICES LIMITED","2003-01-28","Diversified Financials",284031287
"COH","COCHLEAR LIMITED","1995-12-04","Health Care Equipment & Services",13388490784
"COI","COMET RIDGE LIMITED","2004-04-16","Energy",156607828
"COL","COLES GROUP LIMITED.","2018-11-21","Food & Staples Retailing",22484977771
"COO","CORUM GROUP LIMITED","1971-07-28","Software & Services",18518835
"COS","COSOL LIMITED","2020-01-24","Software & Services",110684783
"COY","COPPERMOLY LIMITED","2008-01-31","Materials",21939569
"CPH","CRESO PHARMA LIMITED","2016-10-20","Pharmaceuticals, Biotechnology & Life Sciences",36719243
"CPM","COOPER METALS LIMITED","2021-11-19","Materials",10580000
"CPN","CASPIN RESOURCES LIMITED","2020-11-25","Materials",45334062
"CPO","CULPEO MINERALS LIMITED","2021-09-10","Materials",7486867
"CPT","CIPHERPOINT LIMITED","2007-01-03","Software & Services",6770744
"CPU","COMPUTERSHARE LIMITED.","1994-05-27","Software & Services",15793559430
"CPV","CLEARVUE TECHNOLOGIES LIMITED","2018-05-25","Capital Goods",37985737
"CQE","CHARTER HALL SOCIAL INFRASTRUCTURE REIT","2003-05-22","Real Estate",1255523389
"CQR","CHARTER HALL RETAIL REIT","1995-11-15","Real Estate",2260983179
"CR1","CONSTELLATION RESOURCES LIMITED","2018-07-30","Materials",6986760
"CR9","CORELLA RESOURCES LTD","2008-01-15","Materials",10202181
"CRB","CARBINE RESOURCES LIMITED","2007-03-16","Materials",6237036
"CRD","CONRAD ASIA ENERGY LTD.","2022-10-27","Energy",206421692
"CRL","COMET RESOURCES LIMITED","1994-03-02","Materials","N/A"
"CRM","CARBON MINERALS LIMITED","1980-12-31","Energy","N/A"
"CRN","CORONADO GLOBAL RESOURCES INC.","2018-10-23","Materials",3302613848
"CRR","CRITICAL RESOURCES LIMITED","2010-12-03","Materials",63613305
"CRS","CAPRICE RESOURCES LTD","2018-12-05","Materials",6783424
"CSE","COPPER STRIKE LIMITED","2004-11-24","Materials","N/A"
"CSF","CATALANO SEAFOOD LTD","2022-03-11","Food, Beverage & Tobacco",7211160
"CSL","CSL LIMITED","1994-06-08","Pharmaceuticals, Biotechnology & Life Sciences",137769166340
"CSR","CSR LIMITED","1962-03-31","Materials",2256425141
"CSS","CLEAN SEAS SEAFOOD LIMITED","2005-12-12","Food, Beverage & Tobacco",100948602
"CST","CASTILE RESOURCES LTD","2020-02-14","Materials",23222633
"CSX","CLEANSPACE HOLDINGS LIMITED","2020-10-23","Health Care Equipment & Services",28112126
"CT1","CONSTELLATION TECHNOLOGIES LIMITED","1987-10-08","Technology Hardware & Equipment",5884801
"CTD","CORPORATE TRAVEL MANAGEMENT LIMITED","2010-12-15","Consumer Services",2118796802
"CTE","CRYOSITE LIMITED","2002-05-09","Pharmaceuticals, Biotechnology & Life Sciences",35630981
"CTM","CENTAURUS METALS LIMITED","1989-01-12","Materials",439919461
"CTN","CATALINA RESOURCES LTD","2010-02-18","Materials",11146382
"CTO","CITIGOLD CORPORATION LIMITED","1993-12-23","Materials",17001955
"CTP","CENTRAL PETROLEUM LIMITED","2006-03-07","Energy",57976206
"CTQ","CARETEQ LIMITED","2022-01-10","Health Care Equipment & Services",7908220
"CTT","CETTIRE LIMITED","2020-12-18","Retailing",446048717
"CTV","COLORTV LIMITED","2017-12-14","Media & Entertainment","N/A"
"CU6","CLARITY PHARMACEUTICALS LTD","2021-08-25","Pharmaceuticals, Biotechnology & Life Sciences",245381078
"CUE","CUE ENERGY RESOURCES LIMITED","1995-12-11","Energy",46075902
"CUF","CUFE LTD","2005-10-13","Materials",14491685
"CUL","CULLEN RESOURCES LIMITED","1988-11-23","Materials",6051491
"CUP","COUNTPLUS LIMITED","2010-12-22","Commercial & Professional Services",77671340
"CUS","COPPER SEARCH LIMITED","2021-09-15","Materials",15245469
"CUV","CLINUVEL PHARMACEUTICALS LIMITED","2001-02-13","Pharmaceuticals, Biotechnology & Life Sciences",1065780991
"CVC","CVC LIMITED","1985-06-27","Diversified Financials",230143465
"CVL","CIVMEC LIMITED","2018-06-22","Capital Goods",315707500
"CVN","CARNARVON ENERGY LIMITED","1984-08-16","Energy",270028036
"CVR","CAVALIER RESOURCES LIMITED","2022-06-17","Materials",5594134
"CVV","CARAVEL MINERALS LIMITED","2006-11-03","Materials",93343453
"CVW","CLEARVIEW WEALTH LIMITED","2003-12-11","Diversified Financials",307382971
"CWL","CONSOLIDATED FINANCIAL HOLDINGS LIMITED","2007-10-23","Software & Services","N/A"
"CWP","CEDAR WOODS PROPERTIES LIMITED","1994-08-31","Real Estate",354324828
"CWX","CARAWINE RESOURCES LIMITED","2017-12-14","Materials",19681747
"CWY","CLEANAWAY WASTE MANAGEMENT LIMITED","2005-05-03","Commercial & Professional Services",5854380316
"CXL","CALIX LIMITED","2018-07-20","Materials",775937971
"CXM","CENTREX LIMITED","2006-07-19","Materials",79510604
"CXO","CORE LITHIUM LTD","2011-02-11","Materials",1795798409
"CXU","CAULDRON ENERGY LIMITED","2005-01-28","Energy",6520976
"CXX","CRADLE RESOURCES LIMITED","2011-09-16","Materials","N/A"
"CXZ","CONNEXION TELEMATICS LTD","1974-01-01","Software & Services",9800078
"CY5","CYGNUS GOLD LIMITED","2018-01-15","Materials",70791572
"CYC","CYCLOPHARM LIMITED","2007-01-18","Health Care Equipment & Services",109338246
"CYG","COVENTRY GROUP LIMITED","1966-01-27","Capital Goods",103438582
"CYL","CATALYST METALS LIMITED","2006-07-26","Materials",113224570
"CYM","CYPRIUM METALS LIMITED","1985-04-26","Materials",73019830
"CYP","CYNATA THERAPEUTICS LIMITED","2007-12-20","Pharmaceuticals, Biotechnology & Life Sciences",42982978
"CYQ","CYCLIQ GROUP LTD","2007-11-21","Consumer Durables & Apparel",2432617
"CZL","CONSOLIDATED ZINC LIMITED","2006-06-19","Materials",8332586
"CZN","CORAZON MINING LIMITED","2005-06-30","Materials",11596281
"CZR","CZR RESOURCES LTD","2006-08-29","Materials",47105211
"D2O","DUXTON WATER LIMITED","2016-09-16","Utilities",194537532
"DAF","DISCOVERY ALASKA LIMITED","2011-09-22","Materials",7175510
"DAL","DALAROO METALS LTD","2021-09-28","Materials",5400000
"DBF","DUXTON FARMS LTD","2018-02-08","Food, Beverage & Tobacco",68054348
"DBI","DALRYMPLE BAY INFRASTRUCTURE LIMITED","2020-12-08","Transportation",1204700851
"DBO","DIABLO RESOURCES LIMITED","2021-10-12","Materials",4321000
"DC2","DC TWO LIMITED","2020-11-10","Software & Services",3610155
"DCC","DIGITALX LIMITED","1989-02-06","Software & Services",20129014
"DCG","DECMIL GROUP LIMITED","2005-04-22","Capital Goods",25666116
"DCL","DOMACOM LIMITED","2016-11-07","Diversified Financials",29614121
"DCN","DACIAN GOLD LIMITED","2012-11-14","Materials",121680094
"DCX","DISCOVEX RESOURCES LIMITED","2007-12-13","Materials",9907704
"DDB","DYNAMIC GROUP HOLDINGS LIMITED","2020-08-06","Capital Goods",39020357
"DDH","DDH1 LIMITED","2021-03-09","Materials",352878193
"DDR","DICKER DATA LIMITED","2011-01-24","Technology Hardware & Equipment",1840535406
"DDT","DATADOT TECHNOLOGY LIMITED","2005-01-12","Automobiles & Components",8707086
"DEG","DE GREY MINING LIMITED","2002-07-03","Materials",1967070313
"DEL","DELOREAN CORPORATION LIMITED","2021-04-12","Utilities",14669022
"DEM","DE.MEM LIMITED","2017-04-07","Utilities",30550792
"DES","DESOTO RESOURCES LIMITED","2022-12-16","Materials",15566250
"DEV","DEVEX RESOURCES LIMITED","2000-10-03","Energy",103818001
"DEX","DUKE EXPLORATION LIMITED","2020-11-10","Materials","N/A"
"DGH","DESANE GROUP HOLDINGS LIMITED","1987-09-04","Real Estate",38864491
"DGL","DGL GROUP LIMITED","2021-05-24","Materials",387479239
"DGR","DGR GLOBAL LIMITED","2003-08-21","Materials",57403141
"DHG","DOMAIN HOLDINGS AUSTRALIA LIMITED.","2017-11-16","Media & Entertainment",1692841170
"DJW","DJERRIWARRH INVESTMENTS LIMITED","1995-06-28","Not Applic",727349457
"DKM","DUKETON MINING LIMITED","2014-08-04","Materials",50056994
"DLM","DOMINION MINERALS LIMITED","2004-03-19","Pharmaceuticals, Biotechnology & Life Sciences",10614974
"DLT","DELTA DRONE INTERNATIONAL LIMITED","2018-06-18","Technology Hardware & Equipment",4604444
"DM1","DESERT METALS LIMITED","2020-12-18","Materials",14307113
"DMC","DESIGN MILK CO LIMITED","1997-03-24","Retailing","N/A"
"DME","DOME GOLD MINES LIMITED","2013-10-22","Materials",81089751
"DMG","DRAGON MOUNTAIN GOLD LIMITED","2007-07-31","Materials",4736060
"DMM","DMC MINING LIMITED.","2021-12-22","Materials",4356900
"DMP","DOMINO'S PIZZA ENTERPRISES LIMITED","2005-05-16","Consumer Services",5851371300
"DNA","DONACO INTERNATIONAL LIMITED","2004-12-23","Consumer Services",64857943
"DNK","DANAKALI LIMITED","2003-10-17","Materials",138125380
"DOC","DOCTOR CARE ANYWHERE GROUP PLC","2020-12-04","Health Care Equipment & Services",17603609
"DOR","DORIEMUS PLC","2017-09-29","Energy","N/A"
"DOU","DOUUGH LIMITED","2004-06-15","Telecommunication Services",12770366
"DOW","DOWNER EDI LIMITED","1990-12-20","Commercial & Professional Services",2464675402
"DRA","DRA GLOBAL LIMITED","2021-07-09","Capital Goods",108820996
"DRE","DREADNOUGHT RESOURCES LTD","2006-10-31","Materials",298715854
"DRM","DEMETALLICA LIMITED","2022-05-26","Materials","N/A"
"DRO","DRONESHIELD LIMITED","2016-06-22","Capital Goods",101484447
"DRR","DETERRA ROYALTIES LIMITED","2020-10-23","Materials",2452359267
"DRX","DIATREME RESOURCES LIMITED","2005-06-22","Materials",100703496
"DSE","DROPSUITE LIMITED","1985-12-12","Software & Services",120731116
"DSK","DUSK GROUP LIMITED","2020-11-02","Retailing",103987335
"DTC","DAMSTRA HOLDINGS LIMITED","2019-10-16","Software & Services",34789012
"DTI","DTI GROUP LTD","2014-12-09","Technology Hardware & Equipment",7176823
"DTL","DATA#3 LIMITED","1997-12-23","Software & Services",1034268541
"DTM","DART MINING NL","2007-05-10","Materials",8694569
"DTR","DATELINE RESOURCES LIMITED","2011-06-23","Materials",20911827
"DTZ","DOTZ NANO LIMITED","2007-12-13","Semiconductors & Semiconductor Equipment",128486110
"DUB","DUBBER CORPORATION LIMITED","2000-06-30","Software & Services",144275544
"DUG","DUG TECHNOLOGY LTD","2020-08-12","Software & Services",73236499
"DUI","DIVERSIFIED UNITED INVESTMENT LIMITED","1991-12-19","Not Applic",1038334163
"DUN","DUNDAS MINERALS LIMITED","2021-11-10","Materials",10212781
"DUR","DURATEC LIMITED","2020-11-04","Capital Goods",140128674
"DVL","DORSAVI LTD","2013-12-11","Pharmaceuticals, Biotechnology & Life Sciences",5208569
"DVP","DEVELOP GLOBAL LIMITED","2007-04-27","Materials",512933606
"DVR","DIVERGER LIMITED","2005-08-02","Diversified Financials",36543880
"DXB","DIMERIX LIMITED","1993-02-04","Pharmaceuticals, Biotechnology & Life Sciences",46526682
"DXC","DEXUS CONVENIENCE RETAIL REIT","2017-07-27","Real Estate",399494033
"DXI","DEXUS INDUSTRIA REIT.","2013-12-03","Real Estate",916910335
"DXN","DXN LIMITED","2018-04-11","Software & Services",10327889
"DXS","DEXUS","2004-10-06","Real Estate",8400164571
"DYL","DEEP YELLOW LIMITED","1985-12-19","Energy",512242911
"DYM","DYNAMIC METALS LIMITED",,"Materials",0
"E25","ELEMENT 25 LIMITED","2006-11-09","Materials",174332746
"E2M","E2 METALS LIMITED","2017-04-19","Materials",33852495
"E33","EAST 33 LIMITED..","2021-07-29","Food, Beverage & Tobacco",19206282
"E79","E79 GOLD MINES LIMITED","2021-10-07","Materials",7920090
"EAI","ELLERSTON ASIAN INVESTMENTS LIMITED","2015-09-15","Not Applic",98713608
"EAX","ENERGY ACTION LIMITED","2011-10-13","Commercial & Professional Services",1889202
"EBG","EUMUNDI GROUP LIMITED","1989-12-07","Consumer Services",47107786
"EBO","EBOS GROUP LIMITED","2013-12-06","Health Care Equipment & Services",7924813138
"EBR","EBR SYSTEMS INC.","2021-11-24","Health Care Equipment & Services",124467453
"ECF","ELANOR COMMERCIAL PROPERTY FUND","2019-12-06","Real Estate",299145754
"ECG","ECARGO HOLDINGS LIMITED","2014-11-28","Commercial & Professional Services",9228750
"ECL","EXCELSIOR CAPITAL LTD","1993-04-22","Capital Goods",59438661
"ECP","ECP EMERGING GROWTH LIMITED","2014-08-14","Not Applic",19072652
"ECS","ECS BOTANICS HOLDINGS LTD","1986-03-13","Pharmaceuticals, Biotechnology & Life Sciences",22134613
"ECT","ENVIRONMENTAL CLEAN TECHNOLOGIES LIMITED.","1986-02-05","Commercial & Professional Services",18878768
"ECX","ECLIPX GROUP LIMITED","2015-04-22","Diversified Financials",574564367
"EDC","EILDON CAPITAL GROUP","2017-02-28","Diversified Financials",39682118
"EDE","EDEN INNOVATIONS LTD","2006-06-06","Energy",10844921
"EDU","EDU HOLDINGS LIMITED","2004-06-25","Consumer Services",28912528
"EDV","ENDEAVOUR GROUP LIMITED","2021-06-24","Food & Staples Retailing",11462272109
"EEG","EMPIRE ENERGY GROUP LIMITED","1984-08-30","Energy",146893018
"EEL","ENRG ELEMENTS LTD","2011-07-01","Materials",25984052
"EFE","EASTERN RESOURCES LIMITED","2008-05-16","Materials",32305044
"EGG","ENERO GROUP LIMITED","2004-04-30","Media & Entertainment",259617047
"EGH","EUREKA GROUP HOLDINGS LIMITED","2004-07-01","Real Estate",141176936
"EGL","ENVIRONMENTAL GROUP LIMITED (THE)","1981-02-12","Capital Goods",67760480
"EGN","ENGENCO LIMITED","2006-12-14","Capital Goods",132573108
"EGR","ECOGRAF LIMITED","2010-10-29","Materials",101325028
"EGY","ENERGY TECHNOLOGIES LIMITED","1992-10-22","Capital Goods",14975137
"EHE","ESTIA HEALTH LIMITED","2014-12-05","Health Care Equipment & Services",542558171
"EHL","EMECO HOLDINGS LIMITED","2006-07-28","Capital Goods",397037000
"EIQ","ECHOIQ LIMITED","2010-12-17","Software & Services",81907538
"EL8","ELEVATE URANIUM LTD","1985-10-23","Energy",97800980
"ELD","ELDERS LIMITED","1981-06-30","Food, Beverage & Tobacco",1569460037
"ELE","ELMORE LTD","1998-02-25","Materials",23449525
"ELO","ELMO SOFTWARE LIMITED","2017-06-29","Software & Services",481135610
"ELS","ELSIGHT LIMITED","2017-06-08","Technology Hardware & Equipment",51108658
"ELT","ELEMENTOS LIMITED","2009-12-23","Materials",46313533
"EM2","EAGLE MOUNTAIN MINING LIMITED","2018-03-16","Materials",45831501
"EMB","EMBELTON LIMITED","1974-01-01","Capital Goods",21578570
"EMC","EVEREST METALS CORPORATION LTD","2006-10-18","Energy",8514649
"EMD","EMYRIA LIMITED","2020-02-12","Health Care Equipment & Services",49444383
"EME","ENERGY METALS LTD","2005-09-09","Energy",26210414
"EMH","EUROPEAN METALS HOLDINGS LIMITED","2012-07-19","Materials",120927615
"EML","EML PAYMENTS LIMITED","2006-01-18","Software & Services",222520557
"EMN","EURO MANGANESE INC","2018-10-02","Materials",142863413
"EMP","EMPEROR ENERGY LIMITED","1987-06-05","Energy",5108387
"EMR","EMERALD RESOURCES NL","1994-07-22","Materials",700685160
"EMS","EASTERN METALS LIMITED","2021-10-25","Materials",4011411
"EMT","EMETALS LIMITED","2010-10-26","Not Applic",9350000
"EMU","EMU NL","2008-02-27","Materials",4810877
"EMUCA","EMU NL","2008-02-27","Materials",4810877
"EMV","EMVISION MEDICAL DEVICES LTD","2018-12-13","Health Care Equipment & Services",135565478
"ENA","ENSURANCE LTD","2011-09-23","Insurance",22527484
"ENN","ELANOR INVESTORS GROUP","2014-07-11","Consumer Services",204599588
"ENR","ENCOUNTER RESOURCES LIMITED","2006-03-24","Materials",56884125
"ENT","ENTERPRISE METALS LIMITED","2007-06-20","Materials",6345726
"ENV","ENOVA MINING LIMITED","2007-04-13","Materials",5082081
"ENX","ENEGEX LIMITED","2013-10-08","Materials",4391816
"EOF","ECOFIBRE LIMITED","2019-03-29","Pharmaceuticals, Biotechnology & Life Sciences",82065419
"EOL","ENERGY ONE LIMITED","2007-01-15","Software & Services",134709732
"EOS","ELECTRO OPTIC SYSTEMS HOLDINGS LIMITED","2000-10-23","Capital Goods",84761823
